ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
283,1,21,0,16,1,14,1,1,1
284,0,25,0,17,6,17,0,0,0
285,0,30,1,13,30,15,30,1,2
286,1,18,0,16,13,14,0,0,0
287,0,33,0,19,30,18,0,0,0
288,0,32,1,17,0,17,0,0,0
289,0,56,0,21,0,21,0,0,0
290,1,32,0,17,0,18,0,0,0
291,1,14,0,16,0,15,0,0,0
292,0,27,0,17,0,19,1,1,1
293,0,19,0,16,0,16,0,0,0
294,0,20,0,16,30,18,5,1,1
295,0,23,0,17,0,17,0,0,0
296,0,28,0,20,30,17,2,1,1
297,1,22,0,16,0,15,5,1,1
298,0,34,1,18,0,21,0,0,0
299,1,18,0,16,0,15,0,0,0
300,0,19,0,17,30,16,16,1,2
301,0,30,1,17,0,17,0,0,0
302,0,39,0,19,30,18,2,1,1
303,1,40,0,14,3,17,15,1,2
304,1,36,0,13,0,15,0,0,0
305,0,25,1,15,30,15,0,0,0
306,0,30,0,18,0,21,1,1,1
307,1,16,0,16,0,15,0,0,0
308,1,54,1,18,0,16,4,1,1
309,1,47,0,18,0,17,0,0,0
310,0,29,0,18,0,21,1,1,1
311,1,22,0,19,30,18,0,0,0
312,0,13,0,16,0,16,0,0,0
313,1,19,1,16,0,16,1,1,1
314,0,15,0,16,0,16,0,0,0
315,0,72,0,31,0,22,0,0,0
316,0,18,0,16,0,16,0,0,0
317,0,23,1,17,0,18,0,0,0
318,0,26,0,17,0,17,0,0,0
319,0,16,0,16,0,16,0,0,0
320,0,22,1,18,0,20,0,0,0
321,0,18,0,16,0,16,0,0,0
322,1,14,0,15,3,12,0,0,0
323,0,21,0,16,30,15,0,0,0
324,0,66,0,20,0,22,0,0,0
325,0,21,1,17,0,16,0,0,0
326,0,16,0,14,30,16,0,0,0
327,0,34,0,18,0,21,1,1,1
328,1,14,0,16,0,15,0,0,0
329,1,28,0,16,30,16,2,1,1
330,0,23,0,14,0,16,0,0,0
331,1,27,1,16,0,16,0,0,0
332,0,72,0,22,0,23,0,0,0
333,1,24,0,15,30,15,0,0,0
334,0,28,1,17,0,16,0,0,0
335,1,16,0,16,0,15,0,0,0
336,1,21,1,17,0,21,3,1,1
337,1,34,1,16,30,16,0,0,0
338,0,34,0,17,0,17,0,0,0
339,0,16,0,16,20,15,15,1,2
340,1,23,0,16,30,13,0,0,0
341,1,23,0,19,30,16,0,0,0
342,1,18,0,18,30,15,4,1,1
343,1,17,0,16,0,12,0,0,0
344,0,46,1,19,0,18,4,1,1
345,0,50,1,19,0,17,0,0,0
346,0,30,1,18,0,19,0,0,0
347,0,19,0,17,4,18,0,0,0
348,1,17,0,16,0,15,0,0,0
349,1,16,0,16,0,15,0,0,0
350,0,72,0,21,0,23,0,0,0
351,1,12,0,16,6,15,0,0,0
352,0,17,0,16,4,16,0,0,0
353,1,66,1,15,0,15,0,0,0
354,0,14,0,16,0,16,0,0,0
355,1,20,0,15,8,15,25,1,2
356,1,33,1,18,0,18,0,0,0
357,1,18,0,16,8,15,0,0,0
358,1,19,0,16,9,15,0,0,0
359,0,19,1,17,30,19,0,0,0
360,1,17,0,15,0,11,0,0,0
361,0,14,0,16,0,16,0,0,0
362,0,24,0,17,6,17,3,1,1
363,0,33,1,25,28,18,0,0,0
364,0,19,0,16,0,16,0,0,0
365,1,26,0,20,30,16,10,1,2
366,1,24,0,24,30,14,7,1,1
367,0,34,0,17,0,18,0,0,0
368,1,61,0,19,0,19,0,0,0
369,0,23,0,17,0,20,2,1,1
370,0,25,1,18,0,21,0,0,0
371,1,22,0,20,10,13,1,1,1
372,0,15,0,16,0,16,0,0,0
373,0,26,0,17,0,17,0,0,0
374,0,28,1,18,0,18,2,1,1
375,0,23,0,15,5,10,5,1,1
376,0,15,0,16,0,16,0,0,0
377,0,77,0,17,14,22,0,0,0
378,1,24,1,17,0,19,0,0,0
379,1,19,0,16,7,15,0,0,0
380,1,38,0,18,7,17,10,1,2
381,0,21,1,20,4,17,9,1,2
382,0,13,0,16,0,16,0,0,0
383,1,12,0,16,0,14,0,0,0
384,1,34,0,17,0,19,20,1,2
385,1,35,1,17,0,14,2,1,1
386,1,47,1,19,1,16,0,0,0
387,0,32,1,18,0,17,0,0,0
388,0,20,0,16,0,16,0,0,0
389,1,12,0,15,0,14,0,0,0
390,1,21,1,13,30,16,5,1,1
391,1,13,0,15,0,14,0,0,0
392,1,16,0,15,0,13,2,1,1
393,0,16,0,16,29,15,3,1,1
394,1,22,1,17,0,19,1,1,1
395,1,17,0,13,0,13,0,0,0
396,0,68,1,15,0,20,0,0,0
397,0,39,0,12,0,20,0,0,0
398,0,28,0,17,0,17,0,0,0
399,0,23,1,16,30,14,1,1,1
400,1,41,0,17,30,17,1,1,1
401,0,53,0,21,0,28,0,0,0
402,1,12,0,16,0,14,0,0,0
403,1,13,0,16,0,15,0,0,0
404,1,14,0,16,0,15,0,0,0
405,1,17,0,13,1,15,3,1,1
406,0,34,0,17,0,18,0,0,0
407,1,64,0,18,0,15,1,1,1
408,1,42,0,17,0,17,0,0,0
409,0,56,0,20,0,21,0,0,0
410,1,50,1,18,0,17,0,0,0
411,0,43,1,17,0,14,0,0,0
412,1,13,0,16,0,14,0,0,0
413,0,22,0,17,0,21,0,0,0
414,1,15,0,16,0,15,0,0,0
415,0,57,1,20,0,20,0,0,0
416,0,33,0,19,0,24,0,0,0
417,1,16,0,15,0,10,4,1,1
418,0,56,0,20,0,24,0,0,0
419,0,15,0,16,0,14,0,0,0
420,0,15,0,16,0,16,0,0,0
421,0,52,0,17,0,16,0,0,0
422,1,54,0,14,15,16,12,1,2
423,0,13,0,16,5,13,0,0,0
424,1,15,0,15,7,11,2,1,1
425,0,62,0,22,0,22,0,0,0
426,0,45,1,25,0,12,30,1,2
427,0,42,1,17,0,12,1,1,1
428,1,32,0,25,0,17,0,0,0
429,0,77,0,20,0,10,1,1,1
430,0,82,0,23,0,25,0,0,0
431,0,77,0,21,0,20,0,0,0
432,1,33,0,17,0,15,25,1,2
433,0,32,0,13,0,13,1,1,1
434,0,49,1,20,0,22,3,1,1
435,1,62,1,19,0,17,9,1,2
436,0,13,0,16,0,16,0,0,0
437,0,14,0,16,0,16,0,0,0
438,0,82,0,23,0,25,0,0,0
439,1,21,0,13,0,16,0,0,0
440,1,22,0,16,8,15,0,0,0
441,0,37,0,17,0,15,0,0,0
442,1,35,0,17,10,16,8,1,2
443,0,12,0,16,4,16,0,0,0
444,0,18,1,16,2,16,2,1,1
445,1,77,0,21,0,21,0,0,0
446,1,58,0,18,30,18,15,1,2
447,1,17,0,16,0,15,0,0,0
448,0,20,0,16,15,16,0,0,0
449,1,16,0,16,0,15,0,0,0
450,0,20,1,17,0,18,0,0,0
451,0,21,0,16,0,17,0,0,0
452,0,20,0,17,0,15,4,1,1
453,0,34,0,18,0,18,0,0,0
454,0,12,0,16,0,16,0,0,0
455,1,44,1,18,0,17,1,1,1
456,0,12,0,16,0,16,0,0,0
457,1,14,0,16,0,15,0,0,0
458,0,13,0,11,6,15,0,0,0
459,0,22,1,17,0,16,0,0,0
460,0,17,0,10,0,12,3,1,1
461,0,24,0,18,0,21,0,0,0
462,1,29,1,16,7,12,12,1,2
463,1,46,1,18,10,15,0,0,0
464,0,12,0,16,0,16,0,0,0
465,0,12,0,16,0,16,0,0,0
466,1,15,0,12,30,14,0,0,0
467,1,27,0,16,0,16,0,0,0
468,1,18,0,15,0,13,0,0,0
469,0,14,0,15,13,11,10,1,2
470,1,69,1,23,30,17,4,1,1
471,0,17,0,16,0,14,0,0,0
472,0,34,0,16,7,15,6,1,1
473,0,15,0,10,5,10,0,0,0
474,0,22,0,17,0,17,0,0,0
475,1,48,0,16,0,18,15,1,2
476,0,15,0,16,0,16,0,0,0
